Player_Total,Dealer_Card,Has_Ace,Zen_Count,Prob_Win,Prob_Loss,Prob_Draw,Decision
16,9,1,-4,0.3358113637621976,0.8256748425310373,0.0,1
17,7,0,-4,0.2119439096574124,0.5111892047745359,0.2,0
9,3,0,8,0.7288191747390124,0.2636300100292768,0.007550815231710861,1
13,3,1,-4,0.30799260171610565,0.765069685298923,0.0,0
14,2,0,-9,0.1,0.8956948893481305,0.06899075283833778,0
10,8,0,4,0.5084457654251636,0.34875218359964566,0.14280205097519072,1
6,8,0,3,0.7509827518983014,0.38809553503894373,0.0,1
10,6,1,5,0.5538479483124549,0.4473692050769128,0.0,1
10,8,1,7,0.6480695643784647,0.5047566139735048,0.0,1
16,7,1,2,0.5000803587534214,0.27046621081502004,0.2,1
21,1,0,7,0.637313946999895,0.28364832955314834,0.0790377234469567,0
17,6,0,0,0.32660270747549497,0.6912891977499693,0.0,0
7,5,1,-10,0.29175361867258215,0.6144951425534194,0.09375123877399849,1
13,3,1,9,0.4772290131428072,0.1966633867552704,0.2,0
10,5,1,6,0.3470608090399867,0.6332872595328134,0.019651931427199898,1
10,5,0,-8,0.46187008051005696,0.6776425599222952,0.0,1
4,8,1,3,0.2716656054987925,0.39911673706000733,0.2,1
8,2,1,10,0.811281141098839,0.5019104981204359,0.0,1
13,2,0,-9,0.49056534375630373,0.8070149266094211,0.0,0
5,2,1,10,0.7868452992239321,0.25951355590989217,0.0,1
20,10,0,-10,0.404332812522569,0.6398287198024741,0.0,0
17,4,0,10,0.7380360691641983,0.4403731678226836,0.0,0
11,8,1,5,0.6305666692931549,0.591186831185598,0.0,1
21,3,0,9,0.43405447713595635,0.34418533670096724,0.2,0
13,2,1,9,0.4277175961490336,0.28572433387854185,0.2,0
21,1,1,-1,0.4546517590977908,0.7718973873035214,0.0,0
14,9,0,3,0.5166782115438191,0.6471470487535633,0.0,1
6,8,1,7,0.41101360100339274,0.5275430434145735,0.06144335558203373,1
20,5,0,7,0.4047766276771,0.24771887291451755,0.2,0
7,8,1,-4,0.24608552958586927,0.5471688693516423,0.2,1
16,2,1,-5,0.3078641282192439,0.46844771019422615,0.2,0
11,1,0,-9,0.3614765465522935,0.6220455379592579,0.01647791548844868,1
19,7,0,-9,0.18173825253955717,0.570875886736171,0.2,0
4,5,0,1,0.5435957133814439,0.5180123926669987,0.0,1
21,5,1,-6,0.19662868021124236,0.5952197928408625,0.2,0
14,4,0,1,0.37744626311335,0.487330222673654,0.13522351421299605,0
21,8,1,-8,0.1,0.5617007952690164,0.2,0
15,1,1,-5,0.288866359393541,0.4900938993140703,0.2,1
12,3,0,8,0.3659263645269133,0.5121885591440826,0.12188507632900414,1
8,6,0,6,0.47741156443922755,0.5376857209211511,0.0,1
7,8,1,-3,0.421818814945194,0.6934275176759219,0.0,1
4,10,1,8,0.40017826879593876,0.4386969004150948,0.16112483078896644,1
11,8,1,-9,0.1,0.8002309212667265,0.15960154820613814,1
17,1,0,2,0.7054922238092132,0.49299407401098644,0.0,0
11,6,1,6,0.6180123943932736,0.5385816390328605,0.0,1
8,6,0,8,0.3960442777605332,0.4843481381699426,0.11960758406952421,1
5,3,0,9,0.38187392025887174,0.41973707215664274,0.19838900758448552,1
13,4,1,-9,0.178204904549775,0.8926661363917745,0.0,0
7,4,1,-8,0.1,0.7853152852354529,0.14532402993642235,1
16,9,0,-3,0.33238178819429454,0.7067416813586307,0.0,1
6,3,0,-8,0.2679554167678454,0.8646900317639628,0.0,1
13,6,1,7,0.7785222254082201,0.5865324708949968,0.0,0
17,3,0,3,0.5722177017043331,0.6465099200714428,0.0,0
7,1,1,-4,0.3611802774486875,0.7240468407232744,0.0,1
19,6,1,6,0.37717768694951964,0.4107188970064547,0.2,0
19,3,1,-7,0.1,0.48622084827036455,0.2,0
17,3,1,-3,0.41825526281496256,0.5557206378959767,0.026024099289060798,0
4,2,0,-2,0.507384547667172,0.4447468074353677,0.047868644897460344,1
14,10,1,6,0.41248664304877225,0.5335874082473271,0.05392594870390066,1
9,5,0,1,0.32740203756773656,0.38272468934228016,0.2,1
16,2,0,-3,0.3610936057091264,0.5596750711554478,0.0792313231354258,0
5,2,0,-6,0.5422214501626863,0.8830501631244486,0.0,1
8,3,0,-6,0.5017509446223505,0.5399736248825846,0.0,1
13,8,1,1,0.6316251706248424,0.714164469191696,0.0,1
13,10,1,8,0.6811028183651137,0.28826027007584654,0.030636911559039803,1
20,1,0,-7,0.2600479062250143,0.760134470051056,0.0,0
12,8,1,-8,0.3665631264879937,0.6334842830618619,0.0,1
11,6,1,2,0.28924832461116745,0.37181844585238316,0.2,1
4,2,0,-10,0.13558620618709427,0.7083114486753785,0.1561023451375272,1
6,6,1,8,0.3850416959016464,0.5978096650898188,0.017148639008534805,1
20,4,1,-6,0.5047803501679431,0.6353180320347146,0.0,0
15,10,1,5,0.6893653160260927,0.2814674092311851,0.029167274742722182,1
11,6,1,-8,0.4936847463094267,0.6484056214595457,0.0,1
14,1,0,-3,0.23115673352918076,0.44337448462325957,0.2,1
11,8,0,3,0.39339643364671106,0.5127580374034535,0.09384552894983544,1
8,5,1,7,0.4659075316735402,0.5699378913311041,0.0,1
21,10,1,-2,0.6045902339621447,0.6350143854505006,0.0,0
9,6,0,0,0.21834323793165572,0.7291103668817865,0.05254639518655768,1
18,4,0,-7,0.5338133440098876,0.6704707191829261,0.0,0
21,9,1,-9,0.3121018404026944,0.9,0.0,0
11,4,1,10,0.7808502758345901,0.5629731129427964,0.0,1
7,2,1,8,0.4296102823017163,0.5124233548226625,0.05796636287562118,1
12,8,0,-1,0.555792109727814,0.5702678311845937,0.0,1
16,3,0,-7,0.23061825621708065,0.8352175998780748,0.0,0
7,9,1,-10,0.126461039031655,0.704732233378599,0.16880672758974602,1
13,3,1,9,0.46555495487571946,0.4728880614306105,0.06155698369367002,0
18,10,0,8,0.7120492337324056,0.34865397931469977,0.0,0
16,10,1,-9,0.40417021185981533,0.9,0.0,1
10,8,0,6,0.3240369098687417,0.37715399868071614,0.2,1
10,10,1,-8,0.42579648748479093,0.9,0.0,1
11,9,0,-4,0.5160496202185894,0.49251863809858365,0.0,1
19,4,1,8,0.8484658059658214,0.4156135635989765,0.0,0
8,2,1,-8,0.27113437684327124,0.800436531808917,0.0,1
4,8,1,-8,0.4648958338642931,0.6053069025587481,0.0,1
11,9,0,10,0.5815385397350615,0.2911694200085419,0.12729204025639662,1
10,1,1,4,0.6794002859201288,0.6626761330641577,0.0,1
12,8,0,1,0.6175217911370255,0.6931842582612353,0.0,1
8,1,1,6,0.6105023018523643,0.6153745024294549,0.0,1
8,4,1,0,0.5011124321431728,0.5401326163215365,0.0,1
